,hospital_name,hospital_phone,hospital_address
0,(주)에니멀클리닉컨설팅(출장진료전문병원),031-233-2836,경기도 용인시 기흥구 신갈동 38번지 5호 17통 3반
1,(주)옵티팜,043-249-7500,충청북도 청원군 오송읍 만수리 495번지
2,(주)이상윤동물병원,792-5455,서울특별시 용산구 이촌동 300번지 23호 한강맨션상가
3,(주)초록동물병원,,대구광역시 달서구 진천동 595번지 26호
4,119동물병원,***********,대구광역시 달성군 다사읍 매곡리 1551번지 1호
5,21세기 동물병원,063-251-1015,전라북도 전주시 덕진구 송천동1가 626번지 42호
6,21세기동물병원,8015-3178,경기도 화성시 반송동 217번지 6호
7,21세기동물병원,061-279-0006,전라남도 목포시 상동 127번지 6호
8,21세기동물병원,749-6750,"서울특별시 용산구 보광동 259번지 1호 용호빌딩 202호, 203호"
9,21세기종합동물병원,959-0121,대구광역시 동구 효목동 64번지 6호
10,21세기종합동물병원,365-0075,부산광역시 북구 덕천동 383번지 3호
11,24시 강서 젠틀리동물의료센터,02-2662-8111,서울특별시 강서구 마곡동 747번지 마곡엠밸리10단지
12,24시 건국 본 동물병원,032-864-0075,인천광역시 미추홀구 주안동 1464번지 22호
13,24시 고덕동물의료센터,1833-3339,경기도 평택시 고덕동 1975번지 1호
14,24시 공감365동물의료센터,031-575-8275,경기도 남양주시 진접읍 금곡리 1042번지 엠타워
15,24시 굿케어동물의료센터,02-6956-2475,서울특별시 관악구 봉천동 1673번지 21호 1층
16,24시 글로리 동물병원,02-855-8575,서울특별시 금천구 독산동 145번지 13호
17,24시 나음동물의료센터,031-906-7975,경기도 고양시 일산동구 장항동 852번지 현대 에뜨레보
18,24시 당신의 동물의료센터,031-268-6575,"경기도 수원시 장안구 천천동 516번지 시네마타워 104호, 202호"
19,24시 더나은 동물메디컬 센터,***********,경상남도 거제시 고현동 203번지 1호
20,24시 더블유 동물의료센터,0325658270,인천광역시 서구 청라동 157번지 21호 청라한신더휴커낼웨이
21,24시 더원 동물병원,032-569-6677,인천광역시 서구 원당동 0번지
22,24시 더케어 동물의료센터,031-516-8585,경기도 구리시 수택동 561번지 2호
23,24시 더휴동물의료센터,051-513-6060,부산광역시 동래구 온천동 456번지 29호 신화타워아파트
24,24시 딜라이트 동물의료센터,02-904-1004,서울특별시 도봉구 창동 715번지 1호
25,24시 라움동물의료센터,031-692-5022,경기도 평택시 비전동 1103번지 1호
26,24시 라인동물의료센터,02-381-2475,경기도 고양시 덕양구 삼송동 291번지 힐스테이트 삼송역
27,24시 로운동물의료센터,02)6953-7576,서울특별시 양천구 목동 807번지 1호
28,24시 리본동물영상센터,051-711-0006,부산광역시 동래구 명륜동 506번지 13호 동림빌딩
29,24시 리본동물의료센터,051-711-0006,부산광역시 동래구 명륜동 506번지 13호 동림빌딩
30,24시 명동물메디컬센터,2619-5102,서울특별시 구로구 개봉동 492번지 개봉푸르지오
31,24시 모두의동물병원,02-6951-2475,경기도 광명시 하안동 51번지 태홍빌딩
32,24시 모란동물 메디컬센터,***********,경기도 광주시 쌍령동 168번지 2호
33,24시 블레스동물메디컬센터,031-546-0942,경기도 용인시 기흥구 중동 851번지 2호
34,24시 블루밍 동물병원,062-416-7975,광주광역시 북구 운암동 439번지 1호 MVG#78
35,24시 사람앤동물메디컬센터,031-262-0306,경기도 용인시 수지구 성복동 67번지 6호 성복스퀘어/근린생활시설
36,24시 산들산들 동물병원,02-393-3588,서울특별시 마포구 아현동 424번지 14호 영지빌딩
37,24시 서울 탑 동물병원,02-2601-8875,서울특별시 양천구 신정동 1182번지 11호
38,24시 서울YES동물병원,***********,경기도 용인시 수지구 죽전동 1174번지 1호 벤포스타 101~103호
39,24시 성심동물메디컬센터,0427197566,대전광역시 유성구 봉명동 548번지 11호
40,24시 센텀동물메디컬센터 연산점,051-711-8253,부산광역시 연제구 연산동 702번지 10호 진도사옥
41,24시 송도 온 동물의료센터,032-831-7580,인천광역시 연수구 송도동 92번지 더샵송도센트럴파크Ⅲ
42,24시 송도힐 동물메디컬센터,032-834-7275,인천광역시 연수구 송도동 2번지 3호 이안아파트 상가 107
43,24시 수 동물메디컬센터,02-2676-7582,서울특별시 영등포구 양평동1가 28번지 3호
44,24시 수유 바른펫 동물의료센터,02-903-7582,"서울특별시 강북구 수유동 39번지 10호 1, 2층"
45,24시 숨 동물병원,031-548-2475,경기도 수원시 권선구 권선동 1022번지 7호
46,24시 스마트동물병원(신사본원),02-549-0275,서울특별시 강남구 신사동 587번지 13호 1층 지하1층
47,24시 스탠다드 동물의료센터,02-448-6400,서울특별시 송파구 거여동 605번지 4호
48,24시 시유동물메디컬센터,02-793-0075,서울특별시 용산구 이촌동 302번지 88호 지상1층 101호
49,24시 신도림S동물의료센터,02-6949-3575,서울특별시 구로구 신도림동 435번지 10호 신도림3차푸르지오아파트
