name,phone_num,address,sido,sigungu
(주)이상윤동물병원,792-5455,서울특별시 용산구 이촌동 300번지 23호 한강맨션상가,서울특별시,용산구
21세기동물병원,749-6750,"서울특별시 용산구 보광동 259번지 1호 용호빌딩 202호, 203호",서울특별시,용산구
24시 강서 젠틀리동물의료센터,02-2662-8111,서울특별시 강서구 마곡동 747번지 마곡엠밸리10단지,서울특별시,강서구
24시 굿케어동물의료센터,02-6956-2475,서울특별시 관악구 봉천동 1673번지 21호 1층,서울특별시,관악구
24시 글로리 동물병원,02-855-8575,서울특별시 금천구 독산동 145번지 13호,서울특별시,금천구
24시 딜라이트 동물의료센터,02-904-1004,서울특별시 도봉구 창동 715번지 1호,서울특별시,도봉구
24시 로운동물의료센터,02)6953-7576,서울특별시 양천구 목동 807번지 1호,서울특별시,양천구
24시 명동물메디컬센터,2619-5102,서울특별시 구로구 개봉동 492번지 개봉푸르지오,서울특별시,구로구
24시 산들산들 동물병원,02-393-3588,서울특별시 마포구 아현동 424번지 14호 영지빌딩,서울특별시,마포구
24시 서울 탑 동물병원,02-2601-8875,서울특별시 양천구 신정동 1182번지 11호,서울특별시,양천구
24시 수 동물메디컬센터,02-2676-7582,서울특별시 영등포구 양평동1가 28번지 3호,서울특별시,영등포구
24시 수유 바른펫 동물의료센터,02-903-7582,"서울특별시 강북구 수유동 39번지 10호 1, 2층",서울특별시,강북구
24시 스마트동물병원(신사본원),02-549-0275,서울특별시 강남구 신사동 587번지 13호 1층 지하1층,서울특별시,강남구
24시 스탠다드 동물의료센터,02-448-6400,서울특별시 송파구 거여동 605번지 4호,서울특별시,송파구
24시 시유동물메디컬센터,02-793-0075,서울특별시 용산구 이촌동 302번지 88호 지상1층 101호,서울특별시,용산구
24시 신도림S동물의료센터,02-6949-3575,서울특별시 구로구 신도림동 435번지 10호 신도림3차푸르지오아파트,서울특별시,구로구
24시 애니동물병원,926-8275,서울특별시 성북구 보문동5가 3번지 1호,서울특별시,성북구
24시 지구촌 동물메디컬 센터,869-7582,서울특별시 구로구 구로동 505번지 17호 유성빌딩,서울특별시,구로구
24시 청담우리 동물병원,02-541-7515,서울특별시 강남구 삼성동 70번지 6호,서울특별시,강남구
24시OK동물병원,02-569-7582,서울특별시 강남구 역삼동 766번지 20호 역삼프라자,서울특별시,강남구
24시SD동물의료센터성동,02-2039-0303,서울특별시 중구 신당동 855번지 신당 파인힐 하나유보라,서울특별시,중구
24시SNC동물메디컬센터,02-562-7582,서울특별시 강남구 역삼동 727번지 8호 1층,서울특별시,강남구
